Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-10-21 17:05:22,false,"Copenhagen Running","7.79","558","00:36:38","159","181","3.7","178","215","4:42","2:32","37","36","1.22","6.2","7.7","265","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:22.26","9","0.0","00:36:34","00:39:30","--","10"
Running,2022-10-19 18:25:20,false,"Copenhagen Running","5.69","443","00:32:53","147","177","3.2","164","242","5:47","4:23","9","7","1.18","6.5","7.8","288","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:14.83","6","0.0","00:32:29","00:37:01","1","12"
Running,2022-10-17 18:37:26,false,"Copenhagen - Threshold","8.87","647","00:44:05","157","171","3.7","174","184","4:58","4:07","43","41","1.17","6.9","8.2","266","49.2% L / 50.8% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:01.19","12","0.0","00:43:58","00:47:07","--","16"
Running,2022-10-15 15:33:46,false,"Copenhagen Running","12.14","902","01:11:22","138","166","3.3","165","219","5:53","4:15","16","30","1.10","7.5","8.2","288","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:53.63","13","0.0","01:10:47","01:15:54","--","19"
Running,2022-10-12 18:13:53,false,"Copenhagen Running","9.25","658","00:48:25","149","179","3.4","171","248","5:14","3:22","43","44","1.10","7.2","7.9","276","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:20.62","10","0.0","00:48:02","00:49:59","--","14"
Running,2022-10-10 18:58:04,false,"Copenhagen Running","8.39","612","00:43:43","151","177","3.4","172","190","5:12","3:43","41","41","1.10","7.1","7.5","282","49.4% L / 50.6% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:16.35","9","0.0","00:43:32","00:45:12","--","14"
Running,2022-10-07 17:50:18,false,"Copenhagen Running","11.70","818","01:04:18","140","173","3.4","169","248","5:30","3:04","80","81","1.05","7.2","7.7","281","49.7% L / 50.3% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:24.34","12","0.0","01:03:23","01:10:02","-47","12"
Running,2022-10-05 18:16:08,false,"Copenhagen Running","11.06","753","00:57:28","143","173","3.5","171","226","5:12","3:35","60","60","1.08","7.4","7.9","274","49.7% L / 50.3% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:19.82","12","0.0","00:56:56","01:00:58","0","31"
Running,2022-10-03 17:39:30,false,"Copenhagen Running","10.81","800","00:59:26","145","168","3.5","169","213","5:30","4:03","86","86","1.13","7.6","8.4","280","49.8% L / 50.2% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:32.47","12","0.0","00:58:57","01:03:54","0","76"
Running,2022-09-30 17:41:50,false,"Copenhagen Running","11.45","799","00:59:23","145","175","3.6","173","197","5:11","3:11","11","12","1.10","6.8","7.6","277","49.3% L / 50.7% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:35.47","12","0.0","00:58:44","01:08:09","0","6"
Running,2022-09-28 18:27:30,false,"Copenhagen Running","11.44","780","00:54:10","155","176","3.7","178","219","4:44","3:41","7","7","1.13","6.7","7.7","266","50.1% L / 49.9% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:17.13","12","0.0","00:53:49","00:56:42","--","9"
Running,2022-09-26 18:59:42,false,"Copenhagen Running","8.62","673","00:52:48","141","169","3.1","167","185","6:08","3:56","15","17","1.13","7.5","8.5","285","49.6% L / 50.4% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:30.68","17","0.0","00:52:40","00:57:03","--","8"
Running,2022-09-23 17:57:59,false,"Copenhagen Running","9.38","728","00:55:15","145","173","3.3","167","186","5:53","4:00","54","55","1.13","7.2","8.2","287","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:30.21","11","0.0","00:54:36","01:08:48","1","28"
Running,2022-09-21 18:14:14,false,"Copenhagen Running","5.67","398","00:29:29","146","176","3.1","165","183","5:12","3:48","17","17","1.16","0.0","0.0","0","--","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:03.73","9","0.0","00:29:14","00:30:56","1","10"
Running,2022-09-18 11:24:02,false,"Copenhagen Running","21.92","1,529","01:37:58","172","179","5.0","178","193","4:28","3:37","523","525","1.22","6.8","8.5","254","49.5% L / 50.5% R","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:35.31","23","0.0","01:37:44","01:38:09","0","40"
